0	0	9.733333	0.251409
2	-2	7.714286	0.501005
2	-1	10.742857	0.750601
2	0	11.752381	1.000197
2	1	10.742857	1.249792
2	2	7.714286	1.499388
4	-4	7.163636	1.744804
4	-3	9.090909	1.990220
4	-2	10.467532	2.235635
4	-1	11.293506	2.481051
4	0	11.568831	2.726467
4	1	11.293506	2.971882
4	2	10.467532	3.217298
4	3	9.090909	3.462714
4	4	7.163636	3.708129
6	-6	6.906667	3.947117
6	-5	8.320000	4.186105
6	-4	9.476364	4.425093
6	-3	10.375758	4.664081
6	-2	11.018182	4.903069
6	-1	11.403636	5.142057
6	0	11.532121	5.381045
6	1	11.403636	5.620033
6	2	11.018182	5.859020
6	3	10.375758	6.098008
6	4	9.476364	6.336996
6	5	8.320000	6.575984
6	6	6.906667	6.814972
8	-8	6.757895	7.045465
8	-7	7.873684	7.275958
8	-6	8.840702	7.506452
8	-5	9.658947	7.736945
8	-4	10.328421	7.967438
8	-3	10.849123	8.197931
8	-2	11.221053	8.428424
8	-1	11.444211	8.658918
8	0	11.518596	8.889411
8	1	11.444211	9.119904
8	2	11.221053	9.350397
8	3	10.849123	9.580890
8	4	10.328421	9.811383
8	5	9.658947	10.041877
8	6	8.840702	10.272370
8	7	7.873684	10.502863
8	8	6.757895	10.733356
10	-10	6.660870	10.953521
10	-9	7.582609	11.173687
10	-8	8.407323	11.393852
10	-7	9.135011	11.614017
10	-6	9.765675	11.834183
10	-5	10.299314	12.054348
10	-4	10.735927	12.274513
10	-3	11.075515	12.494678
10	-2	11.318078	12.714844
10	-1	11.463616	12.935009
10	0	11.512128	13.155174
10	1	11.463616	13.375339
10	2	11.318078	13.595505
10	3	11.075515	13.815670
10	4	10.735927	14.035835
10	5	10.299314	14.256001
10	6	9.765675	14.476166
10	7	9.135011	14.696331
10	8	8.407323	14.916496
10	9	7.582609	15.136662
10	10	6.660870	15.356827
12	-12	6.592593	15.565107
12	-11	7.377778	15.773387
12	-10	8.094686	15.981668
12	-9	8.743317	16.189948
12	-8	9.323671	16.398228
12	-7	9.835749	16.606509
12	-6	10.279549	16.814789
12	-5	10.655072	17.023069
12	-4	10.962319	17.231349
12	-3	11.201288	17.439630
12	-2	11.371981	17.647910
12	-1	11.474396	17.856190
12	0	11.508535	18.064470
12	1	11.474396	18.272751
12	2	11.371981	18.481031
12	3	11.201288	18.689311
12	4	10.962319	18.897592
12	5	10.655072	19.105872
12	6	10.279549	19.314152
12	7	9.835749	19.522432
12	8	9.323671	19.730713
12	9	8.743317	19.938993
12	10	8.094686	20.147273
12	11	7.377778	20.355554
12	12	6.592593	20.563834
14	-14	6.541935	20.758978
14	-13	7.225806	20.954123
14	-12	7.859020	21.149267
14	-11	8.441577	21.344411
14	-10	8.973477	21.539556
14	-9	9.454719	21.734700
14	-8	9.885305	21.929844
14	-7	10.265233	22.124989
14	-6	10.594504	22.320133
14	-5	10.873118	22.515278
14	-4	11.101075	22.710422
14	-3	11.278375	22.905566
14	-2	11.405018	23.100711
14	-1	11.481004	23.295855
14	0	11.506332	23.490999
14	1	11.481004	23.686144
14	2	11.405018	23.881288
14	3	11.278375	24.076433
14	4	11.101075	24.271577
14	5	10.873118	24.466721
14	6	10.594504	24.661866
14	7	10.265233	24.857010
14	8	9.885305	25.052154
14	9	9.454719	25.247299
14	10	8.973477	25.442443
14	11	8.441577	25.637588
14	12	7.859020	25.832732
14	13	7.225806	26.027876
14	14	6.541935	26.223021
16	-16	6.502857	26.404101
16	-15	7.108571	26.585182
16	-14	7.675207	26.766263
16	-13	8.202765	26.947344
16	-12	8.691244	27.128425
16	-11	9.140645	27.309506
16	-10	9.550968	27.490587
16	-9	9.922212	27.671667
16	-8	10.254378	27.852748
16	-7	10.547465	28.033829
16	-6	10.801475	28.214910
16	-5	11.016406	28.395991
16	-4	11.192258	28.577072
16	-3	11.329032	28.758152
16	-2	11.426728	28.939233
16	-1	11.485346	29.120314
16	0	11.504885	29.301395
16	1	11.485346	29.482476
16	2	11.426728	29.663557
16	3	11.329032	29.844638
16	4	11.192258	30.025718
16	5	11.016406	30.206799
16	6	10.801475	30.387880
16	7	10.547465	30.568961
16	8	10.254378	30.750042
16	9	9.922212	30.931123
16	10	9.550968	31.112203
16	11	9.140645	31.293284
16	12	8.691244	31.474365
16	13	8.202765	31.655446
16	14	7.675207	31.836527
16	15	7.108571	32.017608
16	16	6.502857	32.198689
18	-18	6.471795	32.365105
18	-17	7.015385	32.531522
18	-16	7.527912	32.697939
18	-15	8.009377	32.864356
18	-14	8.459780	33.030773
18	-13	8.879121	33.197190
18	-12	9.267399	33.363607
18	-11	9.624615	33.530024
18	-10	9.950769	33.696441
18	-9	10.245861	33.862858
18	-8	10.509890	34.029275
18	-7	10.742857	34.195692
18	-6	10.944762	34.362109
18	-5	11.115604	34.528526
18	-4	11.255385	34.694943
18	-3	11.364103	34.861360
18	-2	11.441758	35.027777
18	-1	11.488352	35.194194
18	0	11.503883	35.360611
18	1	11.488352	35.527028
18	2	11.441758	35.693444
18	3	11.364103	35.859861
18	4	11.255385	36.026278
18	5	11.115604	36.192695
18	6	10.944762	36.359112
18	7	10.742857	36.525529
18	8	10.509890	36.691946
18	9	10.245861	36.858363
18	10	9.950769	37.024780
18	11	9.624615	37.191197
18	12	9.267399	37.357614
18	13	8.879121	37.524031
18	14	8.459780	37.690448
18	15	8.009377	37.856865
18	16	7.527912	38.023282
18	17	7.015385	38.189699
18	18	6.471795	38.356116
20	-20	6.446512	38.507587
20	-19	6.939535	38.659059
20	-18	7.407275	38.810530
20	-17	7.849732	38.962002
20	-16	8.266905	39.113474
20	-15	8.658795	39.264945
20	-14	9.025403	39.416417
20	-13	9.366726	39.567888
20	-12	9.682767	39.719360
20	-11	9.973524	39.870832
20	-10	10.238998	40.022303
20	-9	10.479189	40.173775
20	-8	10.694097	40.325246
20	-7	10.883721	40.476718
20	-6	11.048062	40.628190
20	-5	11.187120	40.779661
20	-4	11.300894	40.931133
20	-3	11.389386	41.082604
20	-2	11.452594	41.234076
20	-1	11.490519	41.385548
20	0	11.503160	41.537019
20	1	11.490519	41.688491
20	2	11.452594	41.839962
20	3	11.389386	41.991434
20	4	11.300894	42.142906
20	5	11.187120	42.294377
20	6	11.048062	42.445849
20	7	10.883721	42.597320
20	8	10.694097	42.748792
20	9	10.479189	42.900263
20	10	10.238998	43.051735
20	11	9.973524	43.203207
20	12	9.682767	43.354678
20	13	9.366726	43.506150
20	14	9.025403	43.657621
20	15	8.658795	43.809093
20	16	8.266905	43.960565
20	17	7.849732	44.112036
20	18	7.407275	44.263508
20	19	6.939535	44.414979
20	20	6.446512	44.566451
22	-22	6.425532	44.702995
22	-21	6.876596	44.839539
22	-20	7.306680	44.976084
22	-19	7.715784	45.112628
22	-18	8.103909	45.249172
22	-17	8.471054	45.385716
22	-16	8.817219	45.522261
22	-15	9.142405	45.658805
22	-14	9.446611	45.795349
22	-13	9.729837	45.931893
22	-12	9.992083	46.068438
22	-11	10.233350	46.204982
22	-10	10.453637	46.341526
22	-9	10.652944	46.478070
22	-8	10.831272	46.614615
22	-7	10.988619	46.751159
22	-6	11.124988	46.887703
22	-5	11.240376	47.024247
22	-4	11.334785	47.160792
22	-3	11.408214	47.297336
22	-2	11.460663	47.433880
22	-1	11.492133	47.570424
22	0	11.502622	47.706969
22	1	11.492133	47.843513
22	2	11.460663	47.980057
22	3	11.408214	48.116601
22	4	11.334785	48.253146
22	5	11.240376	48.389690
22	6	11.124988	48.526234
22	7	10.988619	48.662778
22	8	10.831272	48.799323
22	9	10.652944	48.935867
22	10	10.453637	49.072411
